SV_TAXONOMY	TAXONOMY_NAME	RG_REFERENCE	RG_NAME	SV_REFERENCE	SV_NAME	SV_DESCRIPTION	SL_REFERENCE	LC_REFERENCE	PHONE_NUMBER	WEBSITE	EMAIL_ADDRESS	WHEELCHAIR_ACCESSIBLE	LANGUAGE	HOURS	STREET_NUMBER	STREET_NAME	STREET_TYPE	STREET_DIRECTION	CITY	PROVINCE	POSTAL_CODE	LATITUDE	LONGITUDE	811_LINK
LN-9300	Walk In Clinics	RG000009	Fraser Health Authority	SV063586	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL077114	LC052835	6047032030			N	English	Tue, Wed, Thu, 2 p.m. - 4 p.m.; Hours vary, and clinic may be closed during regular days and hours. Please call ahead to confirm clinic is open.	7040	Cheam	Avenue		Agassiz	BC	V0M 1A2	 49.2385	-121.7675	http://find.healthlinkbc.ca/search.aspx?d=SL077114
LN-9300	Walk In Clinics	RG000012	Vancouver Coastal Health Authority	SV000588	UBC Student Health Services	Offers confidential walk-in primary health care services. Treats common medical conditions such as gynecological issues, birth control, sexually transmitted diseases, sports injuries, infections, immunization needs and emotional problems.	SL004037	LC000099	6048227011	http://www.students.ubc.ca/livewelllearnwell/index.cfm	student.health@ubc.ca	Y	English	Mon - Fri, 7:50 a.m. - 4 p.m.; Well-Women exams only Wed, 4 p.m. - 8 p.m. (Sept-April)	2211	Wesbrook	Mall 		Vancouver	BC	V6T 2B5	 49.265082	-123.244573	http://find.healthlinkbc.ca/search.aspx?d=SL004037
LN-9300	Walk In Clinics	RG000016	Northern Health Authority	SV063467	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL076416	LC000135	2505669138			Y		Mon - Fri, 8:40 a.m. - 11 a.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	1445	5th	Avenue		Valemount	BC	V0E 2Z0	 52.83206	-119.270254	http://find.healthlinkbc.ca/search.aspx?d=SL076416
LN-9300	Walk In Clinics	RG000119	Broadway and Burrard Medical Clinic and Family Practice	SV054981	Broadway and Burrard Medical Clinic and Family Practice	Offers family practice, walk-in clinic, PAP tests, travel medicine, allergy shots, prescription refills, pediatrics services, treatment for minor emergencies, and drivers licence medicals. Evening clinic hours offered every day of the week.	SL061391	LC004869	6047361888			Y	English	Mon - Sun, 9 a.m. - 9 p.m.	1816	Broadway		W	Vancouver	BC	V6J 1Y9	 49.263671	-123.146184	http://find.healthlinkbc.ca/search.aspx?d=SL061391
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060221	Walk-In Clinic - Broadmead Village	Provides general medical services on a walk-in basis. Evening clinic hours offered Monday - Wednesday and Friday. Saturday and Sunday hours also available.	SL066600	LC055614	2504797147		carepoint@cbi.ca	Y	English	Mon - Fri, 8 a.m. - 7 p.m.; Sat, 9 a.m. - 4 p.m.; Sun, 10 a.m. - 4 p.m.	777	Royal Oak	Drive		Victoria	BC	V8X 4V1	 48.498368	-123.381439	http://find.healthlinkbc.ca/search.aspx?d=SL066600
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070940	LC004892	6042545554	http://www.cbi.ca/web/carepoint		Y	English (other languages available please see website)	Mon - Sat, 9 a.m. - 9 p.m.;  Sun, 9 a.m. - 6 p.m.  Hours are subject to change.  Please call to confirm.	1623	Commercial	Drive		Vancouver	BC	V5L 3Y3	 49.270184	-123.069821	http://find.healthlinkbc.ca/search.aspx?d=SL070940
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070932	LC004887	6049369874	http://www.carepoint.ca		Y	English (other languages available please see website)	Hours are subject to change, please visit the website for the current schedule.	528	Clarke	Road		Coquitlam	BC	V3J 3X5	 49.260577	-122.891292	http://find.healthlinkbc.ca/search.aspx?d=SL070932
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070936	LC004878	6049159517	http://www.carepoint.ca		Y	English (other languages available please see website)	Mon - Thu, 8 a.m. - 9 p.m.; Fri, 9 a.m. - 9 p.m.; Sat, 9 a.m. - 6 p.m.; Sun, 9 a.m. - 7 p.m.  Hours are subject to change.  Please call to confirm.	1123	Davie	Street		Vancouver	BC	V6E 1N2	 49.280813	-123.131466	http://find.healthlinkbc.ca/search.aspx?d=SL070936
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070939	LC052783	6046874858	http://www.carepoint.ca		Y	English.  A Spanish speaking physician works at this location on Tue, Thu and Fri.	Mon, Wed, Fri, 8 a.m. - 6 p.m.;  Tue, Thu, 8 a.m. - 7 p.m.;  Sat, please call to verify that a walk-in physcian is available.  Closed Sun an Holidays.  Hours are subject to change.  Please call to confirm.	711	Pender	Street	W	Vancouver	BC	V6C 3T2	 49.284753	-123.114928	http://find.healthlinkbc.ca/search.aspx?d=SL070939
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070935	LC004896	6045231166	http://www.carepoint.ca		Y	English (other languages available please see website)	Hours are subject to change, please visit the website for the current schedule.	555	6th	Street		New Westminster	BC	V3L 5H1	 49.21262	-122.919692	http://find.healthlinkbc.ca/search.aspx?d=SL070935
